StockCode,Predicted_7d_Demand,Current_Stock,Inventory_Status
17136A,1.9813688,2,HEALTHY
17164B,0.34551284,0,UNDERSTOCKED
17164D,0.3079004,0,UNDERSTOCKED
17165B,0.26239508,0,UNDERSTOCKED
17165D,0.30048433,0,UNDERSTOCKED
17174,0.20393318,0,UNDERSTOCKED
17178,0.18399002,0,UNDERSTOCKED
17181,0.21530247,0,UNDERSTOCKED
17191A,0.16617313,0,UNDERSTOCKED
18007,0.43278465,0,UNDERSTOCKED
18010,0.050800785,0,UNDERSTOCKED
18094C,0.5621443,0,UNDERSTOCKED
18096C,0.13547264,0,UNDERSTOCKED
18097A,0.09383606,0,UNDERSTOCKED
18097B,0.03455532,0,UNDERSTOCKED
18097C,2.1859534,1,UNDERSTOCKED
18098A,0.033456143,0,UNDERSTOCKED
18098B,0.033456143,0,UNDERSTOCKED
18098C,0.5074321,1,OVERSTOCKED
20615,2.1085403,1,UNDERSTOCKED
20616,0.82906866,0,UNDERSTOCKED
20617,1.2585562,0,UNDERSTOCKED
20618,0.6627622,1,OVERSTOCKED
20619,0.6759782,1,HEALTHY
20620,0.033456143,0,UNDERSTOCKED
20621,0.18762368,0,UNDERSTOCKED
20622,1.0439229,2,OVERSTOCKED
20652,2.4977832,4,OVERSTOCKED
20653,0.7486071,1,HEALTHY
20654,1.0008603,0,UNDERSTOCKED
20655,0.9441193,0,UNDERSTOCKED
20657,1.3137977,3,OVERSTOCKED
20658,1.4171113,3,OVERSTOCKED
20659,1.3072169,2,OVERSTOCKED
20660,0.09604395,0,UNDERSTOCKED
20661,0.87663263,1,HEALTHY
20662,0.58784616,1,OVERSTOCKED
20663,0.5106773,1,OVERSTOCKED
20664,0.117683806,0,UNDERSTOCKED
20665,2.2970815,4,OVERSTOCKED
20666,0.35968128,0,UNDERSTOCKED
20667,0.09383606,0,UNDERSTOCKED
20668,132.92653,109,HEALTHY
20669,2.2415733,5,OVERSTOCKED
20670,0.7117226,1,HEALTHY
20671,0.3079004,0,UNDERSTOCKED
20672,0.17495157,0,UNDERSTOCKED
20673,0.033456143,0,UNDERSTOCKED
20674,10.719874,5,UNDERSTOCKED
20675,16.56174,13,UNDERSTOCKED
20676,33.45759,53,OVERSTOCKED
20677,22.926434,43,OVERSTOCKED
20678,0.07865798,0,UNDERSTOCKED
20679,18.54399,17,HEALTHY
20680,0.039951548,0,UNDERSTOCKED
20681,0.3630414,0,UNDERSTOCKED
20682,14.840066,17,HEALTHY
20683,0.033456143,0,UNDERSTOCKED
20684,0.31237543,0,UNDERSTOCKED
20685,37.188137,81,OVERSTOCKED
20686,2.9969828,5,OVERSTOCKED
20688,0.25738144,0,UNDERSTOCKED
20689,0.25730988,0,UNDERSTOCKED
20692,0.304033,0,UNDERSTOCKED
20693,0.09604395,0,UNDERSTOCKED
20694,0.31996256,0,UNDERSTOCKED
20695,0.24836467,0,UNDERSTOCKED
20696,0.46627897,0,UNDERSTOCKED
20697,0.25269005,0,UNDERSTOCKED
20698,0.27351707,0,UNDERSTOCKED
20699,0.37606025,0,UNDERSTOCKED
20700,0.09677066,0,UNDERSTOCKED
20701,0.075082846,0,UNDERSTOCKED
20702,0.9857332,1,HEALTHY
20703,0.25738144,0,UNDERSTOCKED
20704,1.1136688,2,OVERSTOCKED
20705,0.6810415,0,UNDERSTOCKED
20707,1.4471843,0,UNDERSTOCKED
20711,31.138683,55,OVERSTOCKED
20712,92.097786,78,HEALTHY
20713,101.45746,241,OVERSTOCKED
20714,0.033456143,0,UNDERSTOCKED
20715,0.033456143,0,UNDERSTOCKED
20716,0.34722048,0,UNDERSTOCKED
20717,19.007956,10,UNDERSTOCKED
20718,49.565342,116,OVERSTOCKED
20719,90.67296,122,HEALTHY
20721,0.033456143,0,UNDERSTOCKED
20723,77.65167,188,OVERSTOCKED
20724,192.34076,424,OVERSTOCKED
20725,311.93292,339,HEALTHY
20726,125.15772,158,HEALTHY
20727,200.526,441,OVERSTOCKED
20728,166.48573,188,HEALTHY
20729,0.36059815,0,UNDERSTOCKED
20730,0.34210923,0,UNDERSTOCKED
20731,0.34727785,0,UNDERSTOCKED
20733,3.481966,6,OVERSTOCKED
20734,0.34280825,0,UNDERSTOCKED
20735,1.4658285,1,UNDERSTOCKED
20736,0.12342077,0,UNDERSTOCKED
20738,0.34551284,0,UNDERSTOCKED
20747,0.18762368,0,UNDERSTOCKED
20748,0.8566862,1,HEALTHY
20749,18.847027,42,OVERSTOCKED
20750,20.323826,40,OVERSTOCKED
20751,8.918096,16,OVERSTOCKED
20752,3.3759172,6,OVERSTOCKED
20753,0.033456143,0,UNDERSTOCKED
20754,11.134595,12,HEALTHY
20755,6.213534,13,OVERSTOCKED
20756,2.484851,5,OVERSTOCKED
20757,2.9411356,6,OVERSTOCKED
20758,4.1962605,9,OVERSTOCKED
20759,2.6142778,3,HEALTHY
20760,2.7347221,4,HEALTHY
20761,1.5750072,3,OVERSTOCKED
20762,1.1964022,2,OVERSTOCKED
20763,0.94377023,1,HEALTHY
20764,2.0620742,4,OVERSTOCKED
20765,1.381626,3,OVERSTOCKED
20766,1.6649575,1,UNDERSTOCKED
20767,2.4792333,3,HEALTHY
20768,1.45734,1,UNDERSTOCKED
20769,0.98514116,1,HEALTHY
20770,0.9806757,0,UNDERSTOCKED
20771,1.185781,1,HEALTHY
20772,2.777896,4,HEALTHY
20773,0.7870245,0,UNDERSTOCKED
20774,1.4037925,2,HEALTHY
20775,2.0180511,1,UNDERSTOCKED
20776,0.3499322,0,UNDERSTOCKED
20777,3.0708551,6,OVERSTOCKED
20778,0.36577186,0,UNDERSTOCKED
20780,0.35147136,0,UNDERSTOCKED
20781,0.38957933,0,UNDERSTOCKED
20782,0.3390784,0,UNDERSTOCKED
20783,0.17495157,0,UNDERSTOCKED
20784,0.09677066,0,UNDERSTOCKED
20785,0.13085252,0,UNDERSTOCKED
20786,0.09604395,0,UNDERSTOCKED
20787,0.054290794,0,UNDERSTOCKED
20791,0.039951548,0,UNDERSTOCKED
20793,0.29869086,0,UNDERSTOCKED
20794,0.51672256,1,OVERSTOCKED
20795,0.48036176,1,OVERSTOCKED
20796,0.43154928,0,UNDERSTOCKED
20798,0.26385567,0,UNDERSTOCKED
20799,0.18762368,0,UNDERSTOCKED
20800,0.3606576,0,UNDERSTOCKED
20801,0.35132626,0,UNDERSTOCKED
20802,2.1864653,1,UNDERSTOCKED
20803,0.3630414,0,UNDERSTOCKED
20804,0.17641549,0,UNDERSTOCKED
20812,0.033456143,0,UNDERSTOCKED
20814,0.13085252,0,UNDERSTOCKED
20816,0.10128805,0,UNDERSTOCKED
20818,0.1328595,0,UNDERSTOCKED
20819,0.6744246,0,UNDERSTOCKED
20820,0.054290794,0,UNDERSTOCKED
20821,0.15774748,0,UNDERSTOCKED
20822,0.033456143,0,UNDERSTOCKED
20823,0.21539108,0,UNDERSTOCKED
20825,0.231115,0,UNDERSTOCKED
20826,0.23026262,0,UNDERSTOCKED
20827,0.18483311,0,UNDERSTOCKED
20828,11.39386,18,OVERSTOCKED
20829,14.327476,24,OVERSTOCKED
20830,0.46908957,0,UNDERSTOCKED
20831,1.2149535,1,HEALTHY
20832,5.8379583,7,HEALTHY
20833,0.13085252,0,UNDERSTOCKED
20835,0.34854028,0,UNDERSTOCKED
20836,1.3323561,0,UNDERSTOCKED
20837,0.74132234,0,UNDERSTOCKED
20838,2.475095,1,UNDERSTOCKED
20839,3.5591807,7,OVERSTOCKED
20840,2.3878736,4,OVERSTOCKED
20845,0.16099474,0,UNDERSTOCKED
20846,4.1729007,2,UNDERSTOCKED
20847,0.3961524,0,UNDERSTOCKED
20848,0.23694877,0,UNDERSTOCKED
20849,0.304033,0,UNDERSTOCKED
20850,0.31581,0,UNDERSTOCKED
20851,0.23266943,0,UNDERSTOCKED
20854,0.23328224,0,UNDERSTOCKED
20855,0.1868608,0,UNDERSTOCKED
20856,0.37463102,0,UNDERSTOCKED
20857,0.21539108,0,UNDERSTOCKED
20858,0.033456143,0,UNDERSTOCKED
20860,0.09383606,0,UNDERSTOCKED
20861,0.12342077,0,UNDERSTOCKED
20862,0.21530247,0,UNDERSTOCKED
20863,0.2185077,0,UNDERSTOCKED
20864,0.21539108,0,UNDERSTOCKED
20865,0.21539108,0,UNDERSTOCKED
20866,3.0992198,1,UNDERSTOCKED
20867,1.0591317,1,HEALTHY
20868,3.2498853,7,OVERSTOCKED
20869,1.4461015,2,HEALTHY
20870,0.033456143,0,UNDERSTOCKED
20871,0.36107084,0,UNDERSTOCKED
20877,0.033456143,0,UNDERSTOCKED
20878,0.29827547,0,UNDERSTOCKED
20879,0.033456143,0,UNDERSTOCKED
20881,0.033456143,0,UNDERSTOCKED
20882,0.033456143,0,UNDERSTOCKED
20884,0.033456143,0,UNDERSTOCKED
20885,0.033456143,0,UNDERSTOCKED
20886,2.982804,1,UNDERSTOCKED
20887,0.033456143,0,UNDERSTOCKED
20888,0.23026262,0,UNDERSTOCKED
20889,0.26385567,0,UNDERSTOCKED
20890,0.039951548,0,UNDERSTOCKED
20891,0.033456143,0,UNDERSTOCKED
20892,0.13085252,0,UNDERSTOCKED
20893,1.2750301,2,OVERSTOCKED
20894,0.71037394,0,UNDERSTOCKED
20895,0.033456143,0,UNDERSTOCKED
20896,0.12342077,0,UNDERSTOCKED
20897,0.34686175,0,UNDERSTOCKED
20898,0.28830954,0,UNDERSTOCKED
20899,0.1263563,0,UNDERSTOCKED
20901,0.13082951,0,UNDERSTOCKED
20902,0.14491276,0,UNDERSTOCKED
20903,0.1823511,0,UNDERSTOCKED
20905,0.033456143,0,UNDERSTOCKED
20906,0.1328595,0,UNDERSTOCKED
20910,0.13547264,0,UNDERSTOCKED
20913,0.033456143,0,UNDERSTOCKED
20914,93.58806,232,OVERSTOCKED
20931,1.7589266,2,HEALTHY
20932,1.0920432,1,HEALTHY
20933,0.5942511,1,OVERSTOCKED
20934,0.72142696,0,UNDERSTOCKED
20935,0.35782412,0,UNDERSTOCKED
20936,1.1039875,2,OVERSTOCKED
20939,0.033456143,0,UNDERSTOCKED
20940,0.033456143,0,UNDERSTOCKED
20941,0.23987696,0,UNDERSTOCKED
20942,0.033456143,0,UNDERSTOCKED
20943,0.21539108,0,UNDERSTOCKED
20950,0.29827547,0,UNDERSTOCKED
20952,0.23026262,0,UNDERSTOCKED
20953,0.09383606,0,UNDERSTOCKED
20956,10.32864,23,OVERSTOCKED
20957,0.1328595,0,UNDERSTOCKED
20958,0.10128805,0,UNDERSTOCKED
20960,0.34551284,0,UNDERSTOCKED
20961,11.131273,7,UNDERSTOCKED
20963,10.875561,12,HEALTHY
20964,0.09383606,0,UNDERSTOCKED
20966,0.3455335,0,UNDERSTOCKED
20967,0.3606576,0,UNDERSTOCKED
20968,0.033456143,0,UNDERSTOCKED
20969,21.98776,30,HEALTHY
20970,17.598433,19,HEALTHY
20971,94.5606,109,HEALTHY
20972,112.15346,206,OVERSTOCKED
20973,52.167286,104,OVERSTOCKED
20974,46.758224,97,OVERSTOCKED
20975,76.77925,159,OVERSTOCKED
20976,0.25730988,0,UNDERSTOCKED
20977,12.117451,18,HEALTHY
20978,19.886156,12,UNDERSTOCKED
20979,40.48605,64,OVERSTOCKED
20980,0.245865,0,UNDERSTOCKED
20981,24.031425,54,OVERSTOCKED
20982,30.087471,36,HEALTHY
20983,32.20808,23,UNDERSTOCKED
20984,25.612877,20,UNDERSTOCKED
20985,5.4689593,11,OVERSTOCKED
20986,4.397438,7,OVERSTOCKED
20987,0.033456143,0,UNDERSTOCKED
20988,0.0670094,0,UNDERSTOCKED
20989,0.1868608,0,UNDERSTOCKED
20990,0.28960696,0,UNDERSTOCKED
20991,0.39777333,0,UNDERSTOCKED
20992,46.313725,88,OVERSTOCKED
20993,0.4493699,0,UNDERSTOCKED
20994,0.033456143,0,UNDERSTOCKED
20996,30.251204,74,OVERSTOCKED
20997,0.24310884,0,UNDERSTOCKED
20998,0.7021979,0,UNDERSTOCKED
21000,0.52853614,1,OVERSTOCKED
21001,0.3905399,0,UNDERSTOCKED
21002,0.26276982,0,UNDERSTOCKED
21003,0.19256736,0,UNDERSTOCKED
21004,0.1558476,0,UNDERSTOCKED
21007,0.3630414,0,UNDERSTOCKED
21009,0.29827547,0,UNDERSTOCKED
21010,0.29827547,0,UNDERSTOCKED
21011,0.34247264,0,UNDERSTOCKED
21012,5.9148827,13,OVERSTOCKED
21014,18.941734,13,UNDERSTOCKED
21015,16.730349,24,HEALTHY
21016,0.304033,0,UNDERSTOCKED
21017,0.23266943,0,UNDERSTOCKED
21018,0.18762368,0,UNDERSTOCKED
21025,0.52680415,0,UNDERSTOCKED
21026,1.4088728,1,UNDERSTOCKED
21027,0.8691222,1,HEALTHY
21028,1.0231481,2,OVERSTOCKED
21030,0.883198,1,HEALTHY
21031,0.42099124,1,OVERSTOCKED
21032,0.5388205,0,UNDERSTOCKED
21033,1.1317958,1,HEALTHY
21034,34.036293,76,OVERSTOCKED
21035,15.767257,14,HEALTHY
21036,0.033456143,0,UNDERSTOCKED
21038,0.18762368,0,UNDERSTOCKED
21039,3.8998952,9,OVERSTOCKED
21040,0.21539108,0,UNDERSTOCKED
21041,3.8150506,8,OVERSTOCKED
21042,2.5762763,4,OVERSTOCKED
21043,0.30048433,0,UNDERSTOCKED
21051,0.88286245,0,UNDERSTOCKED
21054,0.38865823,0,UNDERSTOCKED
21055,2.248168,5,OVERSTOCKED
21056,1.2921453,1,UNDERSTOCKED
21058,7.486205,13,OVERSTOCKED
21059,4.978037,9,OVERSTOCKED
21060,3.2516305,4,HEALTHY
21061,2.515731,4,OVERSTOCKED
21062,3.376864,5,HEALTHY
21063,3.7462873,8,OVERSTOCKED
21064,2.4312449,1,UNDERSTOCKED
21065,1.209639,1,HEALTHY
21066,3.9138489,9,OVERSTOCKED
21067,0.85231996,1,HEALTHY
21068,10.448344,14,HEALTHY
21069,1.356854,2,HEALTHY
21070,6.874778,7,HEALTHY
21071,6.850523,6,HEALTHY
21076,0.29827547,0,UNDERSTOCKED
21077,0.34843498,0,UNDERSTOCKED
21078,10.64022,17,OVERSTOCKED
21080,131.02272,85,UNDERSTOCKED
21081,0.033456143,0,UNDERSTOCKED
21082,0.40373993,0,UNDERSTOCKED
21084,8.416703,15,OVERSTOCKED
21085,0.47274446,0,UNDERSTOCKED
21086,47.308235,52,HEALTHY
21087,0.21539108,0,UNDERSTOCKED
21088,12.771811,23,OVERSTOCKED
21089,0.4929125,0,UNDERSTOCKED
21090,7.748386,17,OVERSTOCKED
21091,0.47274446,1,OVERSTOCKED
21092,0.42879474,1,OVERSTOCKED
21094,54.0678,105,OVERSTOCKED
21095,0.21539108,0,UNDERSTOCKED
21096,8.020268,10,HEALTHY
21097,0.12342077,0,UNDERSTOCKED
21098,25.656494,57,OVERSTOCKED
21099,0.42879474,0,UNDERSTOCKED
21100,0.36930895,0,UNDERSTOCKED
21102,0.13085252,0,UNDERSTOCKED
21106,1.7659224,3,OVERSTOCKED
21107,4.3943806,10,OVERSTOCKED
21108,97.09178,77,UNDERSTOCKED
21109,2.5444171,4,OVERSTOCKED
21110,2.9966335,3,HEALTHY
21111,2.276322,5,OVERSTOCKED
21112,4.001878,8,OVERSTOCKED
21114,14.251671,31,OVERSTOCKED
21115,4.418062,6,HEALTHY
21116,5.913718,7,HEALTHY
21117,1.2160174,1,HEALTHY
21118,0.033456143,0,UNDERSTOCKED
21121,54.488194,121,OVERSTOCKED
21122,40.781673,86,OVERSTOCKED
21123,6.6134963,16,OVERSTOCKED
21124,30.12906,75,OVERSTOCKED
21125,4.9958773,8,OVERSTOCKED
21126,3.2399547,6,OVERSTOCKED
21127,0.2185077,0,UNDERSTOCKED
21128,0.38298154,0,UNDERSTOCKED
21129,0.548322,0,UNDERSTOCKED
21130,0.304033,0,UNDERSTOCKED
21131,0.77757144,0,UNDERSTOCKED
21132,0.3889922,0,UNDERSTOCKED
21133,0.18399002,0,UNDERSTOCKED
21134,0.18762368,0,UNDERSTOCKED
21135,19.091333,35,OVERSTOCKED
21136,60.04513,104,OVERSTOCKED
21137,73.85247,89,HEALTHY
21143,0.83999044,0,UNDERSTOCKED
21144,0.231115,0,UNDERSTOCKED
21145,0.634862,0,UNDERSTOCKED
21146,0.29827547,0,UNDERSTOCKED
21147,2.015847,3,HEALTHY
21153,0.23266943,0,UNDERSTOCKED
21154,28.608625,45,OVERSTOCKED
21155,22.314035,36,OVERSTOCKED
21156,36.02731,81,OVERSTOCKED
21157,0.4130826,0,UNDERSTOCKED
21158,13.240062,10,UNDERSTOCKED
21159,9.800675,5,UNDERSTOCKED
21160,0.21539108,0,UNDERSTOCKED
21161,0.3441353,0,UNDERSTOCKED
21162,12.702885,24,OVERSTOCKED
21163,10.591197,9,HEALTHY
21164,15.103141,11,UNDERSTOCKED
21165,35.71498,18,UNDERSTOCKED
21166,101.40183,121,HEALTHY
21167,4.5848966,7,OVERSTOCKED
21169,41.70315,53,HEALTHY
21171,0.4176849,0,UNDERSTOCKED
21172,40.57365,93,OVERSTOCKED
21173,0.21711431,0,UNDERSTOCKED
21174,43.34737,66,OVERSTOCKED
21175,112.88116,233,OVERSTOCKED
21179,14.4140835,18,HEALTHY
21181,137.7578,240,OVERSTOCKED
21185,0.13085252,0,UNDERSTOCKED
21186,0.36059815,0,UNDERSTOCKED
21187,0.39621806,0,UNDERSTOCKED
21188,0.53572136,1,OVERSTOCKED
21189,1.4502687,2,HEALTHY
21190,0.5555753,0,UNDERSTOCKED
21191,3.6791306,5,HEALTHY
21192,5.08974,12,OVERSTOCKED
21193,0.1328595,0,UNDERSTOCKED
21194,2.6515777,3,HEALTHY
21195,0.29827547,0,UNDERSTOCKED
21196,0.53926975,0,UNDERSTOCKED
21197,1.1756738,0,UNDERSTOCKED
21198,2.3859935,1,UNDERSTOCKED
21199,1.5406507,1,UNDERSTOCKED
21200,4.0026364,3,UNDERSTOCKED
21201,5.230881,4,UNDERSTOCKED
21202,1.0947797,1,HEALTHY
21203,0.34551284,0,UNDERSTOCKED
21204,3.1215925,3,HEALTHY
21205,1.586979,3,OVERSTOCKED
21206,3.9985352,5,HEALTHY
21207,10.205281,18,OVERSTOCKED
21208,5.172389,4,UNDERSTOCKED
21209,4.8916492,4,HEALTHY
21210,61.03853,35,UNDERSTOCKED
21211,5.175903,4,UNDERSTOCKED
21212,366.34076,387,HEALTHY
21213,168.84337,144,HEALTHY
21214,0.35329,0,UNDERSTOCKED
21215,6.3785205,4,UNDERSTOCKED
21216,12.806422,18,HEALTHY
21217,9.107137,8,HEALTHY
21218,13.863289,17,HEALTHY
21219,3.117765,4,HEALTHY
21220,2.2007508,4,OVERSTOCKED
21221,1.1399828,0,UNDERSTOCKED
21222,2.2333198,4,OVERSTOCKED
21223,0.25738144,0,UNDERSTOCKED
21224,6.3528633,4,UNDERSTOCKED
21225,0.033456143,0,UNDERSTOCKED
21226,0.33359605,0,UNDERSTOCKED
21228,0.1728367,0,UNDERSTOCKED
21231,72.67784,76,HEALTHY
21232,107.24096,226,OVERSTOCKED
21238,26.528704,52,OVERSTOCKED
21239,15.943031,13,HEALTHY
21240,15.59185,14,HEALTHY
21241,0.34902966,0,UNDERSTOCKED
21242,16.696623,24,HEALTHY
21243,13.280932,23,OVERSTOCKED
21244,5.2013187,6,HEALTHY
21245,5.4960175,7,HEALTHY
21246,0.88606197,1,HEALTHY
21247,0.23328224,0,UNDERSTOCKED
21248,3.055194,3,HEALTHY
21249,5.781857,11,OVERSTOCKED
21250,0.7235421,1,HEALTHY
21251,1.8592087,2,HEALTHY
21252,0.0670094,0,UNDERSTOCKED
21253,0.7065718,0,UNDERSTOCKED
21255,0.2185077,0,UNDERSTOCKED
21256,0.17641549,0,UNDERSTOCKED
21257,5.8937764,5,HEALTHY
21258,4.611581,4,HEALTHY
21259,10.052983,12,HEALTHY
21260,7.3035016,3,UNDERSTOCKED
21261,2.3174784,2,HEALTHY
21262,4.188916,3,UNDERSTOCKED
21263,2.7428243,3,HEALTHY
21264,3.6475892,2,UNDERSTOCKED
21265,1.6410491,3,OVERSTOCKED
21267,0.033456143,0,UNDERSTOCKED
21268,0.23026262,0,UNDERSTOCKED
21269,0.44206274,0,UNDERSTOCKED
21270,0.17384262,0,UNDERSTOCKED
21272,0.48238394,0,UNDERSTOCKED
21274,0.18762368,0,UNDERSTOCKED
21275,0.16245277,0,UNDERSTOCKED
21276,0.09383606,0,UNDERSTOCKED
21277,0.3612336,0,UNDERSTOCKED
21278,0.3691914,0,UNDERSTOCKED
21279,1.347381,1,UNDERSTOCKED
21280,1.1472857,1,HEALTHY
21281,0.6187972,1,OVERSTOCKED
21282,0.21539108,0,UNDERSTOCKED
21283,0.23987696,0,UNDERSTOCKED
21284,2.0441866,5,OVERSTOCKED
21285,2.0156412,3,HEALTHY
21286,1.7737077,1,UNDERSTOCKED
